pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10598,2743.86,2742.75,7,2743.37,Buy,0.11999999999989086,0.13999999999987267,-6.85
10599,2743.86,2742.84,7,2743.93,Buy,0.5599999999999454,0.11999999999989086,-5.25
10600,2743.87,2742.85,7,2743.97,Buy,0.010000000000218279,0.5599999999999454,-5.42
10601,2745.07,2743.01,7,2745.17,Buy,0.12000000000034561,0.5199999999999818,-6.49
10602,2746.11,2744.4,7,2745.7,Buy,0.12000000000034561,0.6300000000001091,-7.15
10603,2739.72,2737.02,7,2738.57,Buy,0.2300000000000182,1.449999999999818,-6.08
10604,2739.72,2737.75,7,2738.79,Buy,0.2800000000002001,0.6799999999998363,-5.47
10605,2739.72,2737.75,7,2739.19,Buy,0.599999999999909,0.2800000000002001,-5.06
10606,2738.81,2733.91,7,2738.89,Buy,1.3099999999999454,0.30999999999994543,5.03
10607,2739.57,2733.91,8,2739.67,Buy,0.7800000000002001,1.3099999999999454,5.45
10608,2740.37,2734.16,8,2740.47,Buy,0.7899999999999636,0.7800000000002001,5.26
10609,2740.36,2734.69,7,2739.05,Buy,1.4200000000000728,0.7899999999999636,5.24
10610,2740.36,2735.52,7,2739.53,Buy,0.49000000000023647,1.4200000000000728,5.32
